review_order,review_priority,selection_reasons,source_id,dev_row_id,stable_group_id,instruction,ground_truth_intent,ground_truth_needs_human,lora_intent,lora_needs_human,lora_response,heuristic_risk_flags,lora_error_tags,review_relevance,review_fabrication,review_unsupported_action,review_sensitive_data,review_unnecessary_escalation,review_overall,review_note
47,7,risk:unnecessary_escalation,318,dev_144,4da485eb6b14f6009e395b4356e87920a7fc16e7ca28d02d62c2cbe2c0e5b55c,i do not know how to cancel purchasw {{Order Number}},cancel_order,False,cancel_order,False,"I'm sorry to hear that you're unsure about how to cancel your purchase with the order number {{Order Number}}. Let me guide you through the process step by step. First, please log in to your account on our website. Once you're logged in, navigate to the ""My Orders"" section. There, you should be able to find the purchase with the order number {{Order Number}}. Click on it to view the details of your purchase. Look for the ""Cancellation"" or ""Refund"" option, and follow the instructions provided. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. We're here to assist you every step of the way.",unnecessary_escalation,,,,,,,,
48,7,risk:unnecessary_escalation,899,dev_296,51f3eee0e6c8fe9dd85591c31ec249d78d3fc3f69f7b2b276450ab20648f50e5,"I can no longer afford order {{Order Number}}, cancel it",cancel_order,False,cancel_order,False,"I'm sorry to hear that you're unable to afford order {{Order Number}}. I understand how frustrating it can be to cancel an order when you're facing financial constraints. To assist you with this, I recommend reaching out to our customer support team directly. They will be able to provide you with the necessary guidance and support to cancel your order. Rest assured, we are here to help you navigate this situation and ensure a smooth resolution.",unnecessary_escalation,,,,,,,,
49,7,risk:unnecessary_escalation,1859,dev_159,76a0f32a657388901a4d806956f2ad5860ea1429469538e4474272fddc3b4cb5,help to swap several items of order {{Order Number}},change_order,False,change_order,False,"I'm on the same page that you need assistance with swapping several items in your order with the number {{Order Number}}. To swap items, you can reach out to our customer support team either through our website or by calling our dedicated helpline. They will guide you through the process and ensure that your order is updated accordingly. Don't worry, we're here to help you every step of the way.",unnecessary_escalation,,,,,,,,
50,7,risk:unnecessary_escalation,2641,dev_187,2444c59cac98b26a14a603279e946ee9c6ee3fbc1d415ca1bf73b340ec62e8fe,could you tell me more about changing my delivery address?,change_shipping_address,False,change_shipping_address,False,"Of course! I'm here to guide you through the process of changing your delivery address. To update your address, you can log in to your account on our website and navigate to the ""My Account"" section. From there, you'll find an option to edit your shipping address. Simply select that option and follow the prompts to enter the new address details. If you encounter any difficulties or have further questions, feel free to reach out to our customer support team.",unnecessary_escalation,,,,,,,,
51,7,risk:unnecessary_escalation,5505,dev_224,6eab469b1091522433fc6050209adca78c8182ca99ddcfb53dfb910635d7dacf,what do I have to do to list the allowed payment methods?,check_payment_methods,False,check_payment_methods,False,"I'm happy to help! To list the allowed payment methods, you can follow these steps: 1. Log in to your account on our website. 2. Navigate to the ""Payment Methods"" or ""Checkout"" section. 3. Look for the ""Payment Options"" or ""Payment Methods"" tab. 4. You should see a list of the allowed payment methods available to you. If you don't see the payment methods you're looking for, you can also reach out to our customer support team for further assistance. They will be able to provide you with the specific payment methods that are currently available to you. Remember, we strive to offer a wide range of payment options to ensure convenience and flexibility for our customers.",unnecessary_escalation,,,,,,,,
52,7,risk:unnecessary_escalation,14310,dev_016,f41e68e94b756dde25f05665db7c1634fde9a29526032eaae7e095d8fbd1a885,how to update the info on my user profile?,edit_account,False,edit_account,False,"I'm glad you reached out to us for assistance in updating the information on your user profile. I'm here to guide you through the process and ensure that your profile is updated accurately. To update the information on your user profile, you can log in to your account on our website or app and navigate to the profile section. From there, you will find an option to edit the information. Please follow the prompts and provide the necessary details to update your profile. If you encounter any difficulties or have further questions, feel free to reach out to our customer support team. We're here to help you every step of the way!",unnecessary_escalation,,,,,,,,
53,7,risk:unnecessary_escalation,17855,dev_073,c08aec8449b8ee8fca298e8b04e3c94a1729c4ff26ac3842d85ab7186091c1a9,"I have to receive the newsletter, how could I do it?",newsletter_subscription,False,newsletter_subscription,False,"I'm glad you're interested in receiving our newsletter! To subscribe, you can visit our website and navigate to the ""Newsletter"" section. There, you'll find all the necessary information on how to sign up. If you encounter any difficulties or have any questions along the way, feel free to reach out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. We're here to assist you every step of the way!",unnecessary_escalation,,,,,,,,
54,7,risk:unnecessary_escalation,19037,dev_065,fac47a13f65aed55a0506ce93a24300d710553594e9e831372e6cf7b75bb6c08,i dont know what i need to do to shop a few of ur product,place_order,False,place_order,False,"I'm glad you're interested in shopping our products! I'm here to guide you through the process and ensure a seamless experience. To shop our products, you can visit our website and navigate to the product page. From there, you can browse through our collection and select the items you like. Once you've found the products you want, you can add them to your cart and proceed to checkout. If you have any questions or need further assistance, feel free to reach out to our customer support team.",unnecessary_escalation,,,,,,,,
55,7,risk:unnecessary_escalation,20172,dev_067,622732123fe685ae26521f618d5032954748a7bd75599646e29295e5aa0590ca,is it possible to reset the keyof my user account,recover_password,False,recover_password,False,"I'm on it! I'm here to assist you in resetting the key for your user account. To reset the key, please follow these steps: 1. Go to the '{{Login Page URL}}' on our website. 2. Look for the '{{Forgot Password}}' or '{{Password Reset}}' option and click on it. 3. You will be prompted to enter your email address associated with your user account. Please provide the correct email address. 4. After entering the email address, you will receive an email with instructions on how to reset your key. 5. Follow the instructions in the email to reset your key. If you encounter any difficulties or have any further questions, please don't hesitate to reach out to our customer support team. We're here to help you every step of the way.",unnecessary_escalation,,,,,,,,
56,7,risk:unnecessary_escalation,20366,dev_277,219db894e1c38f9e2162b2d6d8fe9e112fc8dd854d1388e5c025e94b88690338,"I lost my password, I need help recovering it",recover_password,False,recover_password,False,"I'm sorry to hear that you're experiencing difficulties with retrieving your password. I understand how frustrating it can be to lose access to your account. Let me guide you through the process of recovering your password. First, please visit our website and navigate to the ""{{Login Page URL}}"". There, you will find a section labeled ""{{Forgot Password}}"" or something similar. Click on that option to initiate the password recovery process. Once you're on the recovery page, you will be prompted to provide some additional information, such as your email address or username associated with your account. Please enter the correct information and follow the on-screen instructions to reset your password. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our dedicated support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. We're here to assist you every step of the way.",unnecessary_escalation,,,,,,,,
57,7,risk:unnecessary_escalation,20403,dev_082,2a915b6a4231e8af14d1c30f6a1a39c6cc2ebdd5568b3911b177819be0456318,where do i recover the pin of my profile,recover_password,False,recover_password,False,"I'm on it! I'm here to assist you in recovering the PIN of your profile. To do so, please follow these steps: 1. Visit the ""{{Login Page URL}}"" on our website. 2. Look for the ""{{Forgot PIN}}"" option and click on it. 3. You will be prompted to enter the email address associated with your profile. Please provide the correct email address. 4. Once you've entered the email address, click on the ""{{Submit}}"" button. 5. You will receive an email with instructions on how to reset your PIN. Follow the instructions in the email to recover your PIN. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}.",unnecessary_escalation,,,,,,,,
58,7,risk:unnecessary_escalation,20688,dev_039,c9750cc985ef9083aebbbb5486fe455fa620cbddd7a439cf3fbd0c3e7daf46d6,"I can't remembner my pass, can you help me to retrieve it?",recover_password,False,recover_password,False,"I'm sorry to hear that you're having trouble remembering your password. Don't worry, I'm here to assist you in retrieving it. To retrieve your password, please follow these steps: 1. Visit our website and navigate to the ""{{Login Page URL}}"". 2. Look for the ""{{Forgot Password}}"" or ""{{Forgot Username}}"" option and click on it. 3. You will be prompted to provide some additional information, such as your email address or username. Please enter the correct information. 4. Once you've provided the necessary information, you will receive an email with instructions on how to reset your password. 5. Follow the instructions in the email to reset your password. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. We're here to help you every step of the way.",unnecessary_escalation,,,,,,,,
59,7,risk:unnecessary_escalation,20832,dev_252,0fb7aed97bae2d398f3a0e1c1381a46464f4d25bd6f35208721e68e22c033fc9,assistance to reset the pin of my account,recover_password,False,recover_password,False,"I'm on it! I'm here to assist you in resetting the pin of your account. To reset your pin, please follow these steps: 1. Go to the ""{{Login Page URL}}"" on our website. 2. Look for the ""{{Forgot Password}}"" or ""{{Forgot PIN}}"" option and click on it. 3. You will be prompted to enter the email address or phone number associated with your account. Please provide the correct information. 4. Once you've entered the correct information, you will receive an email or SMS with instructions on how to reset your pin. 5. Follow the instructions in the email or SMS to reset your pin. If you encounter any difficulties or have any further questions, please don't hesitate to reach out to our customer support team. We're here to help you every step of the way.",unnecessary_escalation,,,,,,,,
60,7,risk:unnecessary_escalation,21345,dev_145,334d82e16b7146ebd922b00b5d475934bc764da5ed36ab31e7f1bae57975a788,i do not know what to do to notify of a sign-up issue,registration_problems,False,registration_problems,False,"We understand that you're unsure about how to notify us about a sign-up issue. Don't worry, we're here to help you. To notify us about a sign-up issue, you can reach out to our customer support team either through our website or by calling our helpline. Our dedicated team will be more than happy to assist you in resolving the issue and provide you with the necessary guidance. Please let us know if there's anything else we can do to assist you further.",unnecessary_escalation,,,,,,,,
61,7,risk:unnecessary_escalation,21461,dev_076,1655fe7f46db587a0e66bcf5517e74ac0e72ddb5094cd2344a76fddace499a73,where can i report registration errors,registration_problems,False,registration_problems,False,"We appreciate your message and your desire to report any registration errors you may have encountered. To report registration errors, you can reach out to our customer support team either through our website or by calling our dedicated helpline. They will be able to assist you in resolving the issue and provide you with the necessary guidance. We value your feedback and are committed to ensuring a seamless registration experience for all our users.",unnecessary_escalation,,,,,,,,
62,7,risk:unnecessary_escalation,21623,dev_256,b54e425e7e6d2782e05099653904161c18c67802df5eca9872a961094cab711e,i dont know how i can inform of sign-up problems,registration_problems,False,registration_problems,False,"We understand that you're unsure about how to inform us about sign-up problems. Don't worry, we're here to help you. To report any sign-up issues, you can reach out to our customer support team either through our website or by calling our helpline. Our dedicated team will assist you in resolving the problem and ensure that your sign-up experience is smooth and hassle-free. We appreciate your patience and cooperation in this matter.",unnecessary_escalation,,,,,,,,
63,7,risk:unnecessary_escalation,21650,dev_103,00dd4ac169211a3dae0d0fdd18a870b3a541f38ec01071833fbad9a698ef68d0,I need help to  report problems with registrations,registration_problems,False,registration_problems,False,"We appreciate your message to us for reporting problems with your registrations. Your feedback is crucial in helping us improve our services and ensure a seamless experience for all users. To report the problems, you can reach out to our customer support team either through our website or by calling our dedicated helpline. They will guide you through the process and assist you in resolving the issues promptly. We value your input and look forward to addressing your concerns.",unnecessary_escalation,,,,,,,,
64,7,risk:unnecessary_escalation,21843,dev_011,00dd4ac169211a3dae0d0fdd18a870b3a541f38ec01071833fbad9a698ef68d0,i need help to report problems with registrations,registration_problems,False,registration_problems,False,"We appreciate your proactive approach in reporting the problems you encountered during the registration process. Your feedback is crucial in helping us identify and address any issues that may have occurred. To report the problems, you can reach out to our customer support team either through our website's live chat or by calling our dedicated helpline. They will guide you through the necessary steps to report the problems and ensure that they are properly documented and addressed. We value your cooperation in helping us improve our services and provide a seamless registration experience for all our users.",unnecessary_escalation,,,,,,,,
65,7,risk:unnecessary_escalation,22170,dev_005,386c3dae7f873746b275b998a57cbb66502606ee858f4d1de5d21c4d51bf7b81,how to send some feedback for a service?,review,False,review,False,"We appreciate your interest in providing feedback for our service. Your feedback is valuable to us as it helps us improve our services and ensure that we meet your expectations. To send feedback, you can reach out to our customer support team either through our website or by calling our helpline. They will guide you through the process and ensure that your feedback reaches the right people. We value your input and look forward to hearing your thoughts.",unnecessary_escalation,,,,,,,,
66,7,risk:unnecessary_escalation,22308,dev_001,d687f251ca60ea988ef7768ab8df6691346db6bc7c78904259bded9db0202193,i need help to leave some feedback about ur services,review,False,review,False,"Thank you for reaching out! I'm here to assist you in leaving feedback about our services. Your opinion is valuable to us, and we appreciate your willingness to share your experience. To provide feedback, you can visit our website and navigate to the ""Contact Us"" page. There, you will find a form where you can submit your feedback. Alternatively, you can also reach out to our customer support team through our helpline or email at {{Customer Support Email}}. Our team will be more than happy to assist you further and ensure that your feedback reaches us in the most effective way possible. Your feedback is essential to us, and we look forward to hearing your thoughts!",unnecessary_escalation,,,,,,,,
67,7,risk:unnecessary_escalation,22858,dev_124,65604948d208e74caf3d302575c99390897aed48bc6ca7e049d6feddeb42012f,how to send my feedback about ur company,review,False,review,False,"We appreciate your interest in sharing your feedback about our company. Your input is invaluable to us as it helps us improve our services and provide a better experience for our customers. To send your feedback, you can reach out to our customer support team either through our website or by calling our helpline. They will guide you through the process and ensure that your feedback reaches the right people. We value your insights and look forward to hearing from you.",unnecessary_escalation,,,,,,,,
68,7,risk:unnecessary_escalation,24171,dev_020,80fb1d4c52f3d0596d43b9d624ba53fd38bf80612a2557e72e1acb005ce45d4a,what do i need to do to change to the gold account,switch_account,False,switch_account,False,"I'm happy to help! To change to the {{Account Category}} account, you can follow these steps: 1. Sign in to your account on our website or app. 2. Navigate to the '{{Settings}}' or '{{Profile}}' section. 3. Look for the '{{Upgrade Account}}' or '{{Upgrade}}' option. 4. Select the '{{Upgrade Account}}' option. 5. Choose the '{{Account Category}}' account type from the available options. 6. Follow the on-screen instructions to complete the upgrade process. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. We're here to assist you every step of the way!",unnecessary_escalation,,,,,,,,
